message;category
23800 доплаты за отпуска в крок;income
54782.52 зарплата;income
6086.5 зарплата;income
1500 кошулька дала немного денег;income
Зп 36000;income
9 сентября Олег дал 30К;income
Ещё зп 4к;income
Вчера ходил в бассейн, проплыл 600 метров.;other
Вес вчера - 74.7;weight
Сегодня читаю три товарища;event
сделал зарядку для глаз;event
Мой вес 73.3;weight
Сегодня сходил  в бассейн;event
Мой вес 73.4;weight
Пробежал сегодня 10 км;other
Мой вес 73.8;weight
Сегодня был в спортзале;event
Купил 500 долларов по 59.2;event
Мой вес 73.2;weight
Купил билет на электричку за 44;outcome
65 рублей вода и ментос;outcome
Твистер 153 рубля;outcome
Кофе 320;outcome
Элка за 145 рублей;outcome
Купил продуктов на 283 рубля;outcome
Сметана 96 рублей;outcome
88 на элку;outcome
100 на кофе;outcome
176 на элку;outcome
352 на элку;outcome
110 за пожрать;outcome
15 за квас;outcome
180 за пирожки;outcome
34 на элку;outcome
88 на элку;outcome
1195 на itvdn;outcome
326 натуральная слеза;outcome
Чай за 46;outcome
44 за элку;outcome
500 рублей на интернет;outcome
Продукты на 310;outcome
40.5 за пластыри;outcome
88 рублей за элку;outcome
321.5 за продукты;outcome
Цветы за 1000;outcome
68 элка;outcome
150 шаурма;outcome
50 руб кофе;outcome
66 электричка;outcome
Элка 88;outcome
270 продукты;outcome
182 продукты;outcome
88 электричка;outcome
305 Старбакс;outcome
425 продукты;outcome
605 похавать;outcome
34 электричка;outcome
44 электричка;outcome
Твистер 153;outcome
45 йогурт и жвачка;outcome
88 элка;outcome
152 продукты;outcome
88 элка;outcome
109 кофе;outcome
410 поесть;outcome
86 мороженое;outcome
1190 блок питания для ноута;outcome
88 электричка;outcome
84 продукты;outcome
43 маршрутка;outcome
153 твистер;outcome
236 чай;outcome
390 продукты;outcome
22 электричка;outcome
192 терафлю;outcome
44 электричка;outcome
273 обед;outcome
138 продукты;outcome
1524 электричка;outcome
200 на др Эллы;outcome
179 грудка;outcome
40 шоколадка;outcome
34 электричка;outcome
Кофе 100;outcome
100 пацан хорошо пел;outcome
376 обед;outcome
56 продукты;outcome
110 кофе;outcome
303 обед;outcome
40 шоколадка;outcome
103 продукты;outcome
78 за пивас;outcome
110 кофе;outcome
36 вода;outcome
109 улитка и йогурт;outcome
214 продукты;outcome
217 продукты;outcome
385 электричка до твери;outcome
130 чипсы;outcome
1200 отель;outcome
119 купон;outcome
290 поесть;outcome
94 продукты;outcome
299 электричка;outcome
1698 одежда для сони;outcome
311 продукты;outcome
605 мобильник;outcome
110 кофе;outcome
251 обед;outcome
35 улитка с курицей;outcome
Натуральная слеза 587;outcome
2334 книга по C#;outcome
35 продукты;outcome
207 продукты;outcome
99 батончик;outcome
1500 кальянная;outcome
68 электричка;outcome
100 кофе;outcome
34  электричка;outcome
100 чай;outcome
Батончик 99;outcome
348 обед;outcome
34 электричка;outcome
440 медовуха;outcome
1500 гостиница;outcome
190 автобус;outcome
34 автобус;outcome
340 медовуха;outcome
100 сбитень;outcome
99 фильм;outcome
900 ужин;outcome
201 продукты;outcome
450 музей деревянного зодчества;outcome
150 магнитик;outcome
300 сбитень;outcome
150 автобус;outcome
970 электричка;outcome
218 обед;outcome
264 продукты;outcome
56 такси;outcome
34 электричка;outcome
160 обед;outcome
112 кофе;outcome
51.6 продукты;outcome
371 продукты;outcome
50 тройка;outcome
Батончик Bytes 99;outcome
200 день рождения;outcome
60 rich;outcome
100 сервер;outcome
100 сервер;outcome
231 перевод комиссия;outcome
289 кофе в зёрнах;outcome
37 m&m's;outcome
1200 ужин;outcome
34 электричка;outcome
230 день рождение;outcome
39 киткат;outcome
500 интернет;outcome
88 электричка;outcome
80 чаёк в поезде;outcome
90 такси Курск;outcome
69 аптека;outcome
39 мороженое;outcome
400 рубашка дедушке;outcome
432 книги;outcome
99 кофе;outcome
30 троллейбус;outcome
34 маршрутка;outcome
152 продукты;outcome
95 продукты;outcome
66 чай в поезде;outcome
68 электричка;outcome
100 сервер;outcome
100 сервер;outcome
40 печеньки;outcome
146 продукты;outcome
110 кофе;outcome
135 2 милки и улитка;outcome
17.5 хлеб;outcome
22 горячий шоколад;outcome
40 пирожное;outcome
176 Твистер;outcome
145 блядская ласточек;outcome
67.5 каметон;outcome
230 кофе;outcome
34 электричка;outcome
264.8 раф;outcome
366 продукты;outcome
44 элка;outcome
84000 MacBook Pro;outcome
44 электричка;outcome
14 горчичники;outcome
86 продукты;outcome
728.8 чехол на мак;outcome
942 продукты;outcome
32 вода;outcome
3552.5 кошулька;outcome
22 горячий шоколад;outcome
52 киндер буено;outcome
107.7 продукты;outcome
1520 электричка месяц;outcome
519 кофе для Лейлы;outcome
75 ягодное лукошко;outcome
175 муровейник;outcome
169 itunes;outcome
88 латте с шоколадом;outcome
34.9 улитка с курицей;outcome
22 какао;outcome
Ремантадин 160;outcome
45 эмендемс;outcome
533 продукты;outcome
120 продукты;outcome
150 кофе;outcome
40 вода;outcome
44 элка;outcome
211 продукты;outcome
36 лимоны;outcome
120 метро;outcome
189 продукты;outcome
Отдал 20к Олегу;outcome
40 какао-пай;outcome
10к кошечке;outcome
312 продукты;outcome
229 продукты;outcome
1700 пополнение тройки;outcome
120 сок rich;outcome
88 кофе;outcome
88 кофе;outcome
35 улитка с курицей;outcome
467 продукты;outcome
623 продукты;outcome
47 сырки карат;outcome
561.6 кофе;outcome
828 продукты;outcome
110 кофе;outcome
47 пикник;outcome
601.2 цветы;outcome
700 оплатил телефон;outcome
383 продукты;outcome
22 горячий шоколад;outcome
110 бутерброд с тунцом;outcome
239 продукты;outcome
110 латте;outcome
180 обед;outcome
Вафли 30;outcome
Кофе 110;outcome
1089.69 продукты;outcome
1.5 часа на техподдержку;timespend
Вчера 4 часа на проект большого;timespend
8 часов на проект большого;timespend
вчера 4 часа на проект большого;timespend
Час на Транснефть;timespend
3 часа на Санкт-Петербург банк;timespend
Час на спб банк;timespend
3.5 часа на Транснефть;timespend
Час на WholeMeaning;timespend
2 часа на Транснефть;timespend
1.5 часа большой;timespend
1.5 часа Транснефть;timespend
Ещё час на Транснефть;timespend
2 часа на большой;timespend
Полчаса Транснефть;timespend
2 часа большой;timespend
Час большой;timespend
2 часа Транснефть;timespend
